Sno,variables_Batch,variables,Type,Module
351,MIN_HIGHEST_CREDIT_OR_ORIGINAL_LOAN_AMOUNT,MIN_HIGHEST_CREDIT_OR_ORIGINAL_LOAN_AMOUNT,Numerical,BUREAU
352,RATIO_NUM_CREDIT_TXNS_100_TO_500_LAST30D_VS_30TO60D_CC_SMS_BANKING,RATIO_CREDIT_CARD_NUM_CREDIT_TXNS_100_TO_500_LAST30D_VS_30TO60D,Numerical,SMS
353,NUM_LOAN_REJECTION_SMS_90TO120D,NUM_LOAN_REJECTION_90TO120D,Numerical,SMS
354,TOTAL_HIGHEST_CREDIT_OR_ORIGINAL_LOAN_AMOUNT_SECURED_AND_ACTIVE,TOTAL_HIGHEST_CREDIT_OR_ORIGINAL_LOAN_AMOUNT_SECURED_AND_ACTIVE,Numerical,BUREAU
355,AVG_REPAYMENT_TENURE_UNSECURED_AVG,AVG_REPAYMENT_TENURE_UNSECURED_AVG,Numerical,LOCATION
356,MAX_CURRENT_BALANCE_ACTIVE,MAX_CURRENT_BALANCE_ACTIVE,Numerical,BUREAU
357,TIMES_DPD_GT_30_LAST_570_DAYS_MAX,TIMES_DPD_GT_30_LAST_570_DAYS_MAX,Numerical,LOCATION
358,RATIO_NUM_DEBIT_TXNS_NUM_CREDIT_TXNS_120TO150D_SMS_BANKING,RATIO_NUM_DEBIT_TXNS_NUM_CREDIT_TXNS_120TO150D,Numerical,SMS
359,TOTAL_LOAN_REPAYMENT_AMOUNT_90TO120D,TOTAL_LOAN_REPAYMENT_AMOUNT_90TO120D,Numerical,SMS
360,NUM_MIN_BALANCE_BREACH_180D_SMS_BANKING,NUM_MIN_BALANCE_BREACH_180D,Numerical,SMS
